"-- none","-- none"
"Actions","Actie"
"Add your custom attributes as Sooqr fields. The maximum number of allowed fields is restricted by your Sooqr subscription.","Voeg handmatig extra attributen toe aan je Sooqr feed. Het maximaal aantal velden is afhankelijk van je soort Sooqr account."
"API Details","API gegevens"
"Advanced Settings","Geavanceerde Instellingen"
"Attribute","Attribuut"
"By default prices are shown incl. Tax so only change this option if necessary.<br>If the feed export is without tax it's possible to add it with this option.<br>","Standaard worden de prijzen incl. btw getoond, verander deze optie enkel als het nodig is.<br>Wanneer de export feed de prijzen toont exclusief BTW is het mogelijk deze optie te gebruiken.<br>" 
"Cron","Cron"
"Configurable &amp; Grouped","Configureerbaar &amp; Gegroepeerde producten"
"Data: Brand","Data: Merk"
"Data: Category","Data: Categorie"
"Data: Condition","Data: Conditie"
"Data: Id, Name &amp; Description","Data: ID, Naam &amp; Omschrijving"
"Data: GTIN","Data: GTIN"
"Data: MPN","Data: MPN"
"Additional Fields","Extra velden"
"Default Category","Standaard categorie"
"Default Condition","Standaard conditie"
"Description Attribute","Omschrijving attribuut"
"Each store view will have their own Sooqr feed, you can easily activate or de-activate the Sooqr feed generation on store level or automatically generate the Sooqr feed. In case your not using the cron job functionality it's possible to generate the Sooqr feed manually.","Elke winkelzicht heeft zijn eigen Sooqr-feed. U kunt deze gemakkelijk activeren of de-activeren en Sooqr-feed automatisch laten genereren. In het geval dat u de cronjob functionaliteit niet gebruikt is het mogelijk om de Sooqr-feed handmatig te genereren."
"Enabled","Activeer"
"Enable Apparel","Activeer Kleding"
"Export non visible simple products of configurable and grouped products.","Exporteer niet zichtbaar simpele producten van configureerbare en gegroepeerd producten."
"Extra Fields","Extra velden"
"Export CMS Pages","Exporteer CMS pagina's"
"Include Products on Visibility","Voeg producten toe op basis van zichtbaarheid"
"Exclude products with this visibility","Sluit producten uit met deze zichtbaarheid"
"Every product","Elk product"
"Enable Debugging","Debug inschakelen"
"Exclude Products","Producten uitsluiten"
"Exclude Products on Status","Producten met deze status uitsluiten"
"Exclude Products on Visibility","Producten met deze zichtbaarheid uitsluiten"
"Exclude products with this status","Sluit producten met deze status uit"
"Exclude Products on Stock level","Producten uitsluiten op basis van voorraadniveau"
"Exclude out of stock products","Producten welke niet op voorraad zijn uitsluiten"
"Exclude products with this visibility","Sluit producten met deze zichtbaarheid uit"
"Exclude for Sooqr","Uitsluiten voor Sooqr"
"Extension Version","Extensie Versie"
"Extention needs to be enabled to use this function","De extensie dient geactiveerd te zijn om deze functie te gebruiken"
"Feed Generation","Feed Generatie"
"Feed Generation Settings","Feed instellingen"
"Frontend Version","Frontend versie"
"File writing not succeeded","Bestand schrijven niet gelukt"
"Filename","Bestandsnaam"
"Filter by Category","Filter op categorie"
"Your Generated Feeds","Gegenereerde Feeds"
"Force Tax Usage","Dwing BTW gebruik"
"Field Name","Veldnaam"
"Frontend Settings","Frontend Instellingen"
"Frequency","Regelmaat"
"Generate","Genereren"
"Generated","Gegenereerd"
"Generated Feeds","Gegenereerde feed"
"Generate Manual","Genereer manueel"
"Sooqr - Advanced Options","Sooqr - Geavanceerde opties"
"Sooqr","Sooqr"
"Sooqr - Data","Sooqr - Data"
"Sooqr - Filter Conditions","Sooqr - Filter condities"
"Sooqr - Generation Settings","Sooqr - generatie instellingen"
"If you want to submit more fields to your Sooqr Feed you can fill in the data here.","Het is mogelijk om handmatig extra velden toe te voegen aan de Sooqr Feed."
"Include Weight Field","Voeg gewicht toe"
"Include by Category","Invoegen bij categorie"
"Images","Afbeeldingen"
"Include products with this visibility","Voeg producten toe met deze zichtbaarheid"
"Image resize options are only available on store level which can be selected from the scope dropdown on the left top of this page.<br>","Schaal opties voor de afbeeldingen zijn beschikbaar op store level niveau te selecteren via de store-level dropdown linksboven deze pagina.<br>"
"Limit","Limiet"
"Licence","licentie"
"License Key","licentie code"
"Limit Products","Product limiet"
"Make sure you <strong><u>save the configuration first</u></strong> before generating a feed!</strong>","Kies <strong><u>Configuratie opslaan</u></strong> om de laatste instellingen door te voeren in de feed.</strong>"
"Manually Add Tax","Handmatig BTW toevoegen"
"Magmodules","Magmodules"
"New","Nieuw"
"Name Attribute","Naam attribuut"
"No active feed found","Geen actieve feed gevonden"
"Non Required Fields","Niet verplichte velden"
"Only when less than two.. ","Enkel wanneer minder dan 2.. "
"Only add products with the following visibility","Producten toe voegen met de volgende als zichtbaarheid"
"Parent HTML node"," HTML-knooppunt"
"Percentage","Percentage"
"Product Condition","Product Conditie"
"Product Fields","Product Velden"
"Products are categorized in Sooqr according to the Google product taxonomy. While Google can't guarantee that a product will show in a particular category, you can increase the chances that your products will be included in the most relevant categories by sending them highly structured information for your items.<br>Click <a href=""https://support.google.com/merchants/answer/160081"" target=""_blank"">here</a> to read more about the Google product Taxonomy inlcuding the different categories.<br><br>","Producten worden gecategoriseerd volgens de Sooqr opmaak. Ondanks dat Google niet kan garanderen dat de producten daadwerkelijk in deze categorie worden geplaatst is het wel mogelijk om een voorkeur aan te geven.<br>klik <a href=""https://support.google.com/merchants/answer/160081"" target=""_blank"">hier</a> om een overzicht te krijgen van de juiste categorieën binnen Sooqr.<br><br>"
"Price Rules","Prijsregels"
"Grouped Price","Gegroepeerde prijs"
"Prices and Tax","Prijs en BTW"
"Source","Bron"
"Base Image","Base afbeelding"
"Small Image (remommended)","Kleine afbeelding (aanbevolen)"
"Thumbnail","Thumbnail"
"Refurbished","Opgeknapt"
"Resize Image","Afbeelding schalen"
"Image Size","Afbeelding formaat"
"(recommended)","(Aanbevolen)"
"Required according to the Unique Product Identifier Rules for all target countries except for Austria, Belgium, Canada, Denmark, India, Mexico, Norway, Poland, Russia, Sweden, and Turkey. This attribute is recommended for Austria, Belgium, Canada, Denmark, India, Mexico, Norway, Poland, Russia, Sweden, and Turkey.<br><strong>Note:</strong> Don't provide your store name as the brand unless you manufacture the product.<br><br>","Dit is een vereise waarde volgens de Artikelnummer Regels voor alle landen behalve  Oostenrijk, België, Canada, Denemarken, India, Mexico, Noorwegen, Polen, Rusland, Zweden en Turkije. Deze eigenschap wordt aanbevolen voor Oostenrijk, België, Canada, Denemarken, India, Mexico, Noorwegen, Polen, Rusland, Zweden en Turkije.<strong> Opmerking: </strong> gebruik de naam van uw winkel niet als merk tenzijn u zelf de producent bent van het product.<br><br>"
"Server Name","Servernaam"
"Select if you want to check all the products for special prices based on category price rules.<br>This can have some impact on the speed of the generation of the feed if there are many catalog price rules enabled.","Selecteer of de catalogus prijsregels meegenomen dienen te worden in de Sooqr Feed.<br>Indien er veel catalogus-regels actief zijn kan dit invloed op de snelheid van het generen van de Sooqr Feed."
"Set limit for testing, use 0 for all products","Stel een limiet in voor de testfeed, gebruik 0 om alle producten in te voegen."
"Select if you want to check all the products for special prices based on category price rules. This can have some impact on the speed of the generation of the feed if there are many catalog price rules enabled.","Selecteer of de producten moeten worden gecontroleerd op Catalogus prijs regels. Wanneer er veel prijsregels actief zijn kan dit enig effect hebben op de snelheid waarmee de Sooqr feed wordt gegeneerd."
"Select if you want to use your catalog price rules in your Sooqr Feed.","Selecteer of de catalogus prijsregels moeten worden meegenomen in de Sooqr Feed."
"Start Time","Starttijd"
"Staging Environment","Staging omgeving"
"Set the general settings to connect your store with the Sooqr API.","Stel de algemene instellingen in om de webwinkel te verbinden met de Sooqr API."
"Status","Status"
"Shipping","Verzending"
"Shipping Prices","Verzendkosten"
"Sooqr Account ID","Sooqr Account ID"
"Sooqr API Key","Sooqr API Key"
"Statistics","Statistieken"
"Tax Customization","Belasting aanpassingen"
"Text","Tekst"
"The Manufacturer Part Number is used to reference and identify a product using a manufacturer specific naming other than GTIN. MPNs are assigned by a manufacturer. MPNs should typically be specific to a single unique product. For example, different colors of a product should have different MPNs.<br><br>","Het fabrikant onderdeelnummer wordt gebruikt om te verwijzen naar een nummer om  een product te identificeren met behulp van een specifieke andere naamgeving als GTIN. MPNs worden toegewezen door een fabrikant. MPNs is over het algemeen specifiek voor één uniek product. Als voorbeeld, verschillende kleuren binnen een artikel hebben verschillende MPNs.<br><br>"
"The ‘product type’ attribute also indicates the category of the product being sold.<br>However, unlike the ‘Google product category’ attribute, this refers to your own classification of the item.<br>Moreover, you can include more than one ‘product type’ attribute in your feed, if products apply to more than one category.<br>To determine the correct ‘product type’ Attribute, expand or browse the Google taxonomy (i.e. use one of the Google taxonomy values) or use your own categories.","Het kenmerk 'producttype': voor dit kenmerk kunt u een van de categorieën die zijn gedefinieerd<br>in de Google-producttaxonomie of uw eigen categorienamen gebruiken."
"The condition is an required field for the feed. Only three options are available: New, Refurbished & Used. Please select the default condition of your products, when you change the condition on product-level in the Sooqr Tab the product-condition will be overwritten.<br><br>","De conditie is een verplicht veld voor de Google SHoppin feed. Er zijn 3 verschillende condities; Nieuw, opgeknapt en gebruikt. Selecteer de standaard status van de aangeboden producten, het is mogelijk om afwijkende condities aan te geven op product niveau onder de Google Shoppin tab<br><br>"
"This option allows you to exclude product from the Sooqr Feed. To exclude certain products from the Sooqr feed you easily select yes in the Sooqr tab on your product configuration page.<br>","Deze optie maakt het mogelijk om producten uit te sluiten van de Sooqr feed. Om producten uit te sluiten is het mogelijk om op product-niveau via de Sooqr tab te kiezen voor uistluiten: ja."
"This new attribute was created for shops that offer custom goods without an identifier like GTIN or MPN.<br>Custom goods are hand knitted sweaters or antique furniture or vintage items. The ‘Identifier Exists’ field can be used to indicate<br>that an identifier does not exist for certain products: Identifier exists = false. Not required for regular goods.","De relatief nieuwe attribuut is speciaal voor winkels welke maatwerk producten aanbieden zonder GTIN of MPN.<br>Maatwerk goederen zijn vooral handgemaakte producten als truien, meubels of antiek. het 'Identifier Exists' kan worden gebruikt <br>als er geen identifier beschikbaar is voor de producten. Als er een identifier gebruikt wordt kies dan voor Nee.<br>Deze optie niet gebruiken bij normale producten."
"This section lists all the available attributes for the Sooqr Product Feed. Some attributes are required for all products and some are required for certain product types such as apparel, others are recommended. To get the best results with Sooqr lease make sure that you provide most of the attributes.","In deze sectie worden alle beschikbare attributen voor de Sooqr Feed ingesteld. Sommige eigenschappen zijn vereist voor alle producten en sommige zijn voor bepaalde typen producten zoals kleding aanbevolen. Om het maximale resultaat uit Sooqr te halen raden we aan om zoveel mogelijk data te gebruiken."
"This is the weight of the product used to calculate the shipping cost of the item. If you have specified a global shipping method that is dependent on shipping weight (Merchant Dashboard), this attribute will be used to calculate the shipping cost of the item automatically.","Dit is het gewicht om de verzendkosten van het artikel te berekenen. Wanneer er algemene verzendkosten zijn ingesteld in het Google Merchant account zal deze worden gebruikt om de verzendkosten van het item automatisch berekenen."
"This option allows you to include/exclude product from the Sooqr Feed. To exclude certain products from the Sooqr feed you easily select yes in the Sooqr tab on your product configuration page.<br>","Met deze optie is het mogelijk om producten in of uit te sluiten van de Feed. Door specifieke producten uit te sluiten van de Sooqr feed is het mogelijk om dit te doen via de Sooqr Tab op de productpagina.<br>"
"Type of filter","Type filter"
"Use the GTIN/Barcode attribute to submit Global Trade Item Numbers (GTINs) in one of the following formats: UPC (in North America), EAN (in Europe), JAN (in Japan) or ISBN (for books). Please select the attribute that provide these GTINs (for eg. SKU).<br><br>","Gebruik het GTIN/Barcode attribuut als Global Trade Item Numbers (GTIN) in één van de volgende formaten: UPC (in Noord-Amerika), EAN (in Europa), JAN (in Japan) of ISBN (voor boeken). Selecteer het attribuut dat deze GTIN's bieden (bijv. SKU)." 
"Used","Gebruikt"
"Use Parent Data for Simple","Gebruik bovenliggende data voor producten"
"Use Product Type","Gebruik Product Type"
"Use parent data","Gebruik bovenliggende data"
"Use Identifier","Gebruik Identifier"
"Use catalog price rules","Gebruik Catalogus prijsregels"
"Visibility","Zichtbaarheid"
"Weight Units","Gewicht notitie"
"When using configurable or grouped products you can choose to pull information from the parent products. It's specified as 'Configurable products - non apparel' or 'Apparel' markup so activate the Apparel setting to enable the Apparel markup in your feed. Select in the multiple-select box below the fall-back data for the configurable / grouped products in the feed.","Bij het gebruik van configureerbare en gegroepeerde producten die u kunt ervoor kiezen om informatie te trekken vanuit de bovenliggende producten. Het wordt opgegeven in de feed als ''configureerbare producten - geen kleding'' of ''Kleding'', schakel ''kleding'' in om de kleding opmaakt te activeren in de feed. Selecteer in de onderstaande multiple-select de fall-back attributen data voor de configureerbare of gegroepeerde producten in de feed."
"When the tax percentage is 21% use 21.","Wanneer het BTW percentage 21% is gebruik 21."
"We recommend that you configure the shipping costs at your Google Merchant account but in some cases you want to add them into the feed.","We raden aan om de verzendkosten te configureren via het Google Merchant account, mocht het toch nodig zijn de verzendkosten op te nemen in de feed dan is dat hier mogelijk."
"You can add custom-fields to your feed when needed. Please make sure that your using the latest Custom Fields standards To prevent error messages in the feed. The guidelines for the custom-fields can be found right in our Knowledgebase.","Indien nodig is het mogelijk om aparte velden toe te voegen aan de Feed. Wees er zeker van dat deze velden deze velden voldoen aan de laatste feed regels.<br>Deze zijn te vinden in de Knowledgebase."
"You are recommended to provide the following product information for each unique item you submit if it exists, is relevant, and if the information fits into the accepted values for the following detailed product attributes:<br/><br/>","Het wordt aangeraden om de onderstaande informatie-attributen te verstrekken aan Google indien deze beschikbaar is en relevant is aan het product.:<br/><br/>"
"You can find your Sooqr Account ID in your Sooqr account, you can find the link in the information box at the top of this page.","Deze gegevens zijn op te vragen via het Sooqr account, zie een link in het informatieblok bovenaan deze configuratie pagina."
"Overwrite server settings","Overschrijf server instellingen"
"You can find your Sooqr API Key in your Sooqr account, you can find the link in the information box at the top of this page.","U kunt uw Sooqr API Key vinden in uw Sooqr-account, de link naar uw account is bovenaan deze pagina te vinden."
"Memory Limit","Geheugen limiet"
"This overwrites the maximum amount of memory in bytes that a script is allowed to allocate, eg: 1024M.","Dit overschrijft de maximale hoeveelheid geheugen in bytes dat het script maximaal mag gebruiken, bijvoorbeeld: 1024M."
"Max Execution Time","Maximale uitvoer tijd"
"Only use this option if it's necessary to overwrite this setting because of your server memory limit or execution time.","Gebruik deze optie alleen als het nodig is om de instelling van het geheugen limiet of uitvoertijd van je server te overschrijven."
"This overwrites the maximum time in seconds a script is allowed to run before it is terminated by the parser, eg: 300 (for 5 minutes).","Dit overschrijft de maximale tijd in seconden dat het script mag draaien voordat het wordt beëindigd, bijvoorbeeld: 300 (5 minuten)."
"Please enable ""Flat Catalog Category"" and ""Flat Catalog Product"" for the extension to work properly. <a href=""https://www.magmodules.eu/help/enable-flat-catalog/v" target=""_blank"">More information.</a>","Activeer de ""Platte catalogus voor producten"" en de ""Platte catalogus voor categorieën"" om de extensie juist te laten functioneren. <a href=""https://www.magmodules.eu/help/enable-flat-catalog/"" target=""_blank""> Meer informatie.</a>"
"When using multiple feeds, the cron will run several times during this hour. For example when set to 12:00 with  3 feeds it will run at 12:00, 12:20, 12:40","Indien er meerdere feeds gebruikt worden zal de cronjob meerdere keren in dat uur draaien. Als voorbeeld, wanneer de starttijd 12:00 is zal de eerste cronjob gedraaid worden om 12:00 uur, met 3 feeds zal dit dan uitgevoerd worden om 12:00, 12:20 en 12:40"